,Position,Track Name,Streams,Chart Start Date,Chart End Date,Album Name,Release Date,Artist,Features,Song Duration(ms),Explicit,Url
678,19, ZITTI E BUONI by Måneskin ,"21,154,636",2021-05-21,2021-05-28,Teatro d'ira - Vol. I,2021-03-19,Måneskin,None,194786,True,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
679,20," Pareja Del Año by Sebastian Yatra, Myke Towers ","20,460,436",2021-05-21,2021-05-28,Pareja Del Año,2021-04-16,Sebastian Yatra,Myke Towers,195053,False,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
680,21, RAPSTAR by Polo G ,"19,854,591",2021-05-21,2021-05-28,RAPSTAR,2021-04-09,Polo G,None,165925,True,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
681,22, hope ur ok by Olivia Rodrigo ,"19,533,407",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,209560,False,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
682,23, Dynamite by BTS ,"19,475,201",2021-05-21,2021-05-28,BE,2020-11-20,BTS,None,199053,False,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
683,24, Build a Bitch by Bella Poarch ,"18,356,100",2021-05-21,2021-05-28,Build a Bitch,2021-05-14,Bella Poarch,None,122772,True,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
684,25, Save Your Tears (with Ariana Grande) (Remix) by The Weeknd ,"18,204,986",2021-05-21,2021-05-28,Save Your Tears (Remix),2021-04-23,The Weeknd,Ariana Grande,191013,False,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
685,26," AM by Nio Garcia, Flow La Movie ","17,946,106",2021-05-21,2021-05-28,AM,2021-01-28,Nio Garcia,Flow La Movie,182496,True,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
686,27," Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit by Riton, Nightcrawlers ","17,117,733",2021-05-21,2021-05-28,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15,Riton,"Nightcrawlers,Mufasa & Hypeman,Dopamine",169153,False,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
687,28, Todo De Ti by Rauw Alejandro ,"16,896,242",2021-05-21,2021-05-28,Todo De Ti,2021-05-20,Rauw Alejandro,None,199604,True,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
688,29, Blinding Lights by The Weeknd ,"16,738,448",2021-05-21,2021-05-28,After Hours,2020-03-20,The Weeknd,None,200040,False,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
689,30," Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo] by Tion Wayne, Russ Millions ","16,358,920",2021-05-21,2021-05-28,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",2021-04-22,Tion Wayne,"Russ Millions,ArrDee,E1 (3x3),ZT (3x3),Bugzy Malone,Buni,Fivio Foreign,Darkoo",278085,True,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
690,1, good 4 u by Olivia Rodrigo ,"43,029,667",2021-05-14,2021-05-21,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM
691,2, MONTERO (Call Me By Your Name) by Lil Nas X ,"40,805,633",2021-05-14,2021-05-21,MONTERO (Call Me By Your Name),2021-03-31,Lil Nas X,None,137875,True,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
692,3, Kiss Me More (feat. SZA) by Doja Cat ,"37,723,231",2021-05-14,2021-05-21,Kiss Me More (feat. SZA),2021-04-09,Doja Cat,SZA,208866,True,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
693,4, Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber ,"35,908,730",2021-05-14,2021-05-21,Justice,2021-03-19,Justin Bieber,"Daniel Caesar,Giveon",198081,True,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
694,5, Levitating (feat. DaBaby) by Dua Lipa ,"30,358,414",2021-05-14,2021-05-21,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
695,6, m y . l i f e (with 21 Savage & Morray) by J. Cole ,"25,215,473",2021-05-14,2021-05-21,The Off-Season,2021-05-14,J. Cole,"21 Savage,Morray",218801,True,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
696,7, deja vu by Olivia Rodrigo ,"24,953,343",2021-05-14,2021-05-21,SOUR,2021-05-21,Olivia Rodrigo,None,215506,True,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
697,8, Astronaut In The Ocean by Masked Wolf ,"24,605,382",2021-05-14,2021-05-21,Astronomical,2021-09-10,Masked Wolf,None,132780,True,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
698,9," Leave The Door Open by Bruno Mars, Anderson .Paak, Silk Sonic ","23,999,529",2021-05-14,2021-05-21,Leave The Door Open,2021-03-05,Bruno Mars,"Anderson .Paak,Silk Sonic",242096,False,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
699,10, a m a r i by J. Cole ,"23,579,509",2021-05-14,2021-05-21,The Off-Season,2021-05-14,J. Cole,None,148421,True,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
700,11, p r i d e . i s . t h e . d e v i l (with Lil Baby) by J. Cole ,"22,934,823",2021-05-14,2021-05-21,The Off-Season,2021-05-14,J. Cole,Lil Baby,218210,True,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
701,12," Fiel by Los Legendarios, Wisin, Jhay Cortez ","22,522,039",2021-05-14,2021-05-21,Los Legendarios 001,2021-02-04,Los Legendarios,"Wisin,Jhay Cortez",261665,False,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
702,13," Pareja Del Año by Sebastian Yatra, Myke Towers ","21,273,759",2021-05-14,2021-05-21,Pareja Del Año,2021-04-16,Sebastian Yatra,Myke Towers,195053,False,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
703,14, RAPSTAR by Polo G ,"21,241,311",2021-05-14,2021-05-21,RAPSTAR,2021-04-09,Polo G,None,165925,True,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
